Entity;Cantril ladder score;GDP per capita, PPP (constant 2017 international $)
Afghanistan;425.835;19.045.599
Albania;5.133.704;11.052.794
Algeria;5.367.827;11.078.229
Angola;417.838;76.754.463
Argentina;6.242.357;17605.44
Armenia;4.473.529;24.647.629
Australia;7.344.625;9.725.278
Austria;7.227.316;35.392.605
Azerbaijan;4.581.938;45389.17
Bahrain;5.567.952;53179.15
Bangladesh;4.807.098;13.913.837
Belarus;5.566.307;36.296.395
Belgium;7.113.178;44157.48
Belize;6.450.644;30.349.512
Benin;3.492.997;15.444.746
Bolivia;5.633.493;18.274.021
Bosnia and Herzegovina;4.857.435;48154.87
Botswana;4.580.534;7.259.645
Brazil;6.697.499;27.078.696
Bulgaria;3.889.474;85.829.375
Burkina Faso;3.926.028;8.744.958
Burundi;367.756;6.844.984
Cambodia;4.100.715;11.176.881
Cameroon;4.375.735;13.724.671
Canada;7.499.089;15.323.331
Central African Republic;3.567.892;69388.81
Chad;3.919.401;18661.48
Chile;612.797;17.757.792
China;4.679.718;8.525.026
Colombia;6.202.322;2.862.908
Comoros;3.700.023;32.423.545
Congo;3.819.792;45.822.598
Costa Rica;7.251.115;63.661.284
Cote d'Ivoire;4.197.182;66255.63
Croatia;5.622.628;12.427.148
Cuba;5.417.868;16.767.694
Cyprus;6.416.459;22.337.861
Czechia;635.963;9.680.098
Democratic Republic of Congo;3.983.849;12.480.547
Denmark;785.574;29.246.855
